Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
Internet first brand offering multi-category makeup products,Gurugram,2020,Seed,22,"Retail > Beauty Tech,
Consumer Goods > Beauty & Personal Care Products",India,2016-2020,5.35,9.59,0.67,Non-AI Firm,5,,,,,,
Internet-first brand offering personal hygiene products,Gurugram,2020,Seed,26,"Consumer Goods > Beauty & Personal Care Products,
Retail > Beauty Tech",India,2016-2020,2.7,8.28,0.11,Non-AI Firm,5,,,,,,
Deep-tech SaaS platform that uses AI and NLP to manage the hiring process,Bengaluru,2020,Seed,11,"Enterprise Applications > HRTech,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,3.58,11.22,0.13,AI Firm,5,,,,,,
Online platform providing property registration and transaction data,Mumbai,2020,Seed,15,"Real Estate and Construction Tech > Real Estate IT,
Enterprise Applications > Data as a Service",India,2016-2020,2.65,11.65,0.23,Non-AI Firm,5,,,,,,
Company that crafts customised vacation packages,Mumbai,2020,Series A,34,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2016-2020,1.38,17.31,2.06,Non-AI Firm,5,,,,,,
Manufacturer of air and water treatment chemicals,Mumbai,2020,Seed,28,"Chemicals and Materials Tech > Chemicals Tech,
Environment Tech > Air Pollution Management Tech,
Sustainability Tech > Air Pollution Management Tech,
Environment Tech > Water and Wastewater Management Tech,
Sustainability Tech > Water and Wastewater Management Tech",India,2016-2020,1.19,10.27,0.19,AI Firm,5,,,,,,
Credit card solution provider for banks and other regulated financial institutions,Bengaluru,2020,Seed,40,FinTech > Payments,India,2016-2020,8.16,21.96,1.73,Non-AI Firm,5,,,,,,
Developer of electrolyzers for green hydrogen generation,Bengaluru,2020,Seed,54,Energy Tech > Energy Storage Tech,India,2016-2020,6.7,24.8,0.44,Non-AI Firm,5,,,,,,
Digital home loan marketplace that offer personalized and end-to-end home loan solutions,Mumbai,2020,Seed,71,FinTech > Alternative Lending,India,2016-2020,3.53,6.41,0.47,Non-AI Firm,5,,,,,,
Digital bank for migrant families,Mumbai,2020,Seed,50,FinTech > Banking Tech,India,2016-2020,2.59,30.77,1.42,Non-AI Firm,5,,,,,,
"Provider of secure, tech-enabled household and business storage solutions",Noida,2020,Seed,39,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Consumer > Local Services,
Unbundling of Craigslist > Local Services",India,2016-2020,1.65,9.09,0.79,Non-AI Firm,5,,,,,,
App-based social platform for connecting with friends and family,Chennai,2020,Seed,32,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,9.16,14.74,0,Non-AI Firm,5,,,,,,
Platform offering multi-category skincare products,Bengaluru,2020,Series A,63,"Retail > Beauty Tech,
Consumer Goods > Beauty & Personal Care Products",India,2016-2020,10.35,29.78,1.9,Non-AI Firm,5,,,,,,
Develpoer of personalized longevity programs optimizing healthspan for enterprises,Mumbai,2020,Seed,8,"HealthTech > Employee Health IT,
Enterprise Applications > HRTech",India,2016-2020,3.23,3.95,0.37,Non-AI Firm,5,,,,,,
"Provider of AI-driven solutions for healthcare claims, fraud detection, and automation",Noida,2020,Seed,39,"Healthcare > Services for Healthcare Providers,
HealthTech > Healthcare IT",India,2016-2020,1,3.41,0.31,AI Firm,5,,,,,,
Application based platform offering lead generation solutions through WhatsApp bots,Chennai,2020,Seed,43,"Enterprise Applications > MarketingTech,
Enterprise Applications > Sales Force Automation",India,2016-2020,5.24,6.28,1.34,Non-AI Firm,5,,,,,,
Provider of digital storefront for local shops and neighborhood retailers,Mumbai,2020,Seed,20,"Retail > Video Commerce,
Retail > E-Commerce Enablers,
Retail > Social Commerce",India,2016-2020,4.08,17.14,0.06,AI Firm,5,,,,,,
Developer of reusable suborbital launch vehicles and rocket engine testing services,Hyderabad,2020,Seed,15,"Aerospace, Maritime and Defense Tech > NewSpace",India,2016-2020,5.4,2.45,0,Non-AI Firm,5,,,,,,
Online marketplace to hire construction professionals,Gurugram,2020,Seed,44,"Real Estate and Construction Tech > Construction Tech,
Enterprise Applications > HRTech",India,2016-2020,2.39,11.55,0.7,Non-AI Firm,5,,,,,,
Developer of electric scooters,Bengaluru,2020,Seed,2,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,2,6.78,0.05,Non-AI Firm,5,,,,,,
Online marketplace platform offering multi-category organic products,Gurugram,2020,Seed,4,Retail > Horizontal E-Commerce,India,2016-2020,4.74,8.63,0.03,Non-AI Firm,5,,,,,,
Platform offering financial solutions,Bengaluru,2020,Seed,47,FinTech > Alternative Lending,India,2016-2020,3.56,15.17,0.55,Non-AI Firm,5,,,,,,
Cloud-based suite solutions for nonprofit organizations,Pune,2020,Seed,46,Enterprise Applications > Nonprofit Tech,India,2016-2020,1.71,12.71,0,Non-AI Firm,5,,,,,,
Provider of intelligence curriculum for school students,Mumbai,2020,Seed,23,EdTech > K-12 EdTech,India,2016-2020,9.17,19.42,0.38,Non-AI Firm,5,,,,,,
Provider of AI-powered learning and skill development platform,Pune,2020,Seed,11,"EdTech > K-12 EdTech,
EdTech > Higher Education Tech,
Enterprise Applications > HRTech",India,2016-2020,15.57,2.77,0.03,AI Firm,5,,,,,,
SaaS-based platform to manage online tournaments,Bengaluru,2020,Seed,15,"Gaming > Gaming Tech,
Gaming > eSports",India,2016-2020,1.1,4.86,1.32,Non-AI Firm,5,,,,,,
Manufacturer offering electric scooters through its production services,Noida,2020,Series A,5,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,9.82,3.57,0.18,Non-AI Firm,5,,,,,,
Online platform offering natural ingredients based food products for pets,India,2020,Seed,13,"Consumer Goods > Pet Care Products,
Retail > Pet Tech,
Food and Agriculture > Food Processing",India,2016-2020,1.5,4.02,0.32,Non-AI Firm,5,,,,,,
Internet first brand of dairy products,Bengaluru,2020,Seed,11,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Food Tech,
Food and Agriculture Tech > Online Grocery",India,2016-2020,1,3.62,0.81,AI Firm,5,,,,,,
AI-based freelancers matching platform,Gurugram,2020,Seed,66,"Enterprise Applications > MarketingTech,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,3.53,14.81,0.79,AI Firm,5,,,,,,
Provider of a marketplace for asset-backed loans,Chennai,2020,Seed,14,FinTech > Alternative Lending,India,2016-2020,1.15,3.39,0.04,Non-AI Firm,5,,,,,,
"Designer and manufacturer of footwear for men, women, and children",Bengaluru,2020,Series A,28,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,7.88,17.19,1.59,Non-AI Firm,5,,,,,,
Developer of a digital bank for NRIs,Gurugram,2020,Seed,33,FinTech > Banking Tech,India,2016-2020,2.51,11.4,0.45,Non-AI Firm,5,,,,,,
Mobile-based platform providing school-curriculum-related learning solutions,Bengaluru,2020,Seed,1,EdTech > K-12 EdTech,India,2016-2020,1,2.44,0,Non-AI Firm,5,,,,,,
Online platform offering fruits and vegetables from farms,Gurugram,2020,Series A,7,"Food and Agriculture Tech > Online Grocery,
Food and Agriculture Tech > Crop Tech",India,2016-2020,1.18,5.84,0.24,Non-AI Firm,5,,,,,,
Provider of digital bill discounting and trade finance solutions for MSMEs and corporates,Mumbai,2021,Seed,40,FinTech > Alternative Lending,India,2021-2025,1.33,3.36,0.39,Non-AI Firm,4,,,,,,
Internet first bank ofeering retail banking solutions for women,Mumbai,2021,Seed,42,FinTech > Banking Tech,India,2021-2025,1.2,9.58,0.07,AI Firm,4,,,,,,
Online platform offering digital marketing and e-commerce courses,Gurugram,2021,Series A,40,EdTech > Continued Learning,India,2021-2025,3.32,11.07,0.97,Non-AI Firm,4,,,,,,
Platform offers personalized education planning and investment solutions,Mumbai,2021,Seed,86,"EdTech > Higher Education Tech,
EdTech > K-12 EdTech",India,2021-2025,3.9,17.29,0.07,Non-AI Firm,4,,,,,,
Online crypto-focused social trading platform,Bengaluru,2021,Seed,5,"FinTech > Cryptocurrencies,
Blockchain Technology > Cryptocurrencies",India,2021-2025,4.06,8.34,0.26,Non-AI Firm,4,,,,,,
Development & behavioural healthcare to kids & families,Thane,2021,Series A,87,Healthcare > Rehabilitation and Long-Term Care,India,2021-2025,5.84,15.43,0.77,Non-AI Firm,4,,,,,,
Provider of eco-friendly home cleaners,Mumbai,2021,Seed,10,"Retail > Home Care E-Commerce,
Consumer Goods > Home Care Products",India,2021-2025,1.17,4.6,0.28,Non-AI Firm,4,,,,,,
Provider of online marketplace platform for loans to farmers,Chennai,2021,Seed,168,"FinTech > Alternative Lending,
Food and Agriculture Tech > Crop Tech",India,2021-2025,2.35,4.6,0.54,Non-AI Firm,4,,,,,,
Digital fund administration and investor relations service provider,Hyderabad,2021,Seed,41,FinTech > Investment Tech,India,2021-2025,1.49,6.47,0.01,Non-AI Firm,4,,,,,,
Provider of algo trading platform for stock assets,Bengaluru,2021,Series A,23,FinTech > Investment Tech,India,2021-2025,8.26,27.68,0.1,Non-AI Firm,4,,,,,,
AI-powered enterprise automation solutions,Gurugram,2021,Series A,36,"Enterprise Applications > HRTech,
FinTech > Finance & Accounting Tech",India,2021-2025,6.05,28.19,0.47,AI Firm,4,,,,,,
Provider of genetic breeding service to cattle farms,Bengaluru,2021,Seed,37,Food and Agriculture Tech > Food Tech,India,2021-2025,4.83,16.38,0.47,Non-AI Firm,4,,,,,,
Provider of platform offering electric vehicles financing,Bengaluru,2021,Series A,109,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Consumer > Auto E-Commerce & Content,
Auto Tech > Auto E-Commerce & Content,
Auto > Auto Retail & Aftersales,
FinTech > Alternative Lending",India,2021-2025,17.64,19.8,0.27,Non-AI Firm,4,,,,,,
Designer and manufacturer of solid rocket propulsion systems,Bengaluru,2021,Seed,16,"Aerospace, Maritime and Defense Tech > NewSpace",India,2021-2025,1.09,0.3,0.02,Non-AI Firm,4,,,,,,
Manufacturer of waffle-based confectionery and snack products,Mumbai,2021,Seed,94,Food and Agriculture Tech > Online Grocery,India,2021-2025,2.31,7.82,1.01,Non-AI Firm,4,,,,,,
Tech enabled transit retail platform,Indore,2021,Series A,23,"Retail > E-Commerce Enablers,
Retail > Autonomous Retail,
Retail > In Store Retail Tech",India,2021-2025,3.45,10.01,0.57,AI Firm,4,,,,,,
B2B wholesale app for buyers and sellers in the fashion industry,Delhi,2021,Seed,13,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Retail > B2B E-Commerce",India,2021-2025,1.57,4.43,0.02,Non-AI Firm,4,,,,,,
Online cryptocurrency derivatives exchange platform,Bengaluru,2021,Series A,30,"FinTech > Cryptocurrencies,
Blockchain Technology > Cryptocurrencies",India,2021-2025,1.86,24.11,0.31,Non-AI Firm,4,,,,,,
Online tutor discovery platform for various programs,Bengaluru,2021,Seed,47,EdTech > K-12 EdTech,India,2021-2025,1.64,7.17,0.07,Non-AI Firm,4,,,,,,
Platform offering a suite of products for creators and soloprenuers to monetize digital content,Bengaluru,2021,Seed,82,Gig Economy > Freelancer IT,India,2021-2025,2.32,13.82,1.18,Non-AI Firm,4,,,,,,
Provider of software suite solutions to hyperlocal businesses,Gwalior,2021,Seed,3,Retail > E-Commerce Enablers,India,2021-2025,2.06,8.12,2.33,Non-AI Firm,4,,,,,,
Broker-based online trading platform for fixed income,Bengaluru,2021,Seed,45,FinTech > Investment Tech,India,2021-2025,2.3,9.41,0.26,Non-AI Firm,4,,,,,,
Provider of multidiscplinary courses,Bengaluru,2021,Seed,11,EdTech > Continued Learning,India,2021-2025,1.84,7.1,0.65,Non-AI Firm,4,,,,,,
App-based platform for participating in challenges,Bengaluru,2021,Seed,5,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2021-2025,2.44,8.79,0.03,Non-AI Firm,4,,,,,,
Platform offering eyewear and vision-related products,Gurugram,2021,Seed,23,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2021-2025,11.82,19.4,2.44,Non-AI Firm,4,,,,,,
"Provider of a digital marketplace for fractional ownership and trading of tokenized real estate assets, enabling users to invest in and exchange real estate at a miniature scale",Bengaluru,2021,Seed,31,"FinTech > Investment Tech,
Financial Services > Services for Investment Industry",India,2021-2025,5.34,27.28,0.59,Non-AI Firm,4,,,,,,
"Developer of epigenetic-based liquid biopsy tests for cancer detection. This company provides molecular diagnostic solutions focusing on identifying genetic and epigenetic modifications to aid oncologists in making informed treatment decisions. The tests utilize a minimally invasive blood sample to diagnose and understand genetic and epigenetic alterations, enabling personalized healthcare decisions. The technology combines epigenetics, liquid biopsy, and digital droplet PCR for efficient cancer screening. The company's mission is to provide clinically relevant information to improve the quality of life for cancer patients.",Chennai,2021,Seed,4,"Life Sciences > Oncology,
Life Sciences > Clinical Genomics,
Life Sciences > Gastroenterology",India,2021-2025,2.57,0.96,0.1,AI Firm,4,,,,,,
Provider of AI-powered digital twin solutions for industrial facilities,Noida,2021,Seed,16,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech,
High Tech > Digital Twin,
Internet of Things - Industry Applications > Digital Twin",India,2021-2025,3.42,19.19,0.08,AI Firm,4,,,,,,
Provider of student loan products for engineering and MBA students,Mumbai,2021,Seed,126,"EdTech > Higher Education Tech,
FinTech > Alternative Lending",India,2021-2025,20,19.32,0.51,Non-AI Firm,4,,,,,,
"Cloud-based wholesale price, market discovery, and distribution platform for farmers",Bengaluru,2021,Seed,24,Food and Agriculture Tech > Crop Tech,India,2021-2025,5.08,7.66,0.03,Non-AI Firm,4,,,,,,
Online brand offering multi-category homecare products,Delhi,2021,Seed,14,"Retail > Home Care E-Commerce,
Consumer Goods > Home Care Products",India,2021-2025,4.76,14.15,1.3,Non-AI Firm,4,,,,,,
SaaS-based billing and accounting solutions for SMEs,Hyderabad,2021,Seed,17,FinTech > Finance & Accounting Tech,India,2021-2025,2.04,1.99,0.46,Non-AI Firm,4,,,,,,
Internet-first brand of pasta and noodle,Thane,2021,Series A,52,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2021-2025,6.25,9.25,0.96,Non-AI Firm,4,,,,,,
"Manufacturer of heavy-payload drones for logistics, defense, and disaster response",Bhubaneswar,2021,Seed,53,"High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Aerospace, Maritime and Defense Tech > Military Tech",India,2021-2025,3.9,19.51,0.55,Non-AI Firm,4,,,,,,
Manufacturer of AI-powered automated cooking appliances,Bengaluru,2021,Seed,32,"Food and Agriculture Tech > Food Tech,
Retail > Consumer Electronics E-Commerce,
Retail > Home Improvements,
High Tech > Smart Homes,
Internet of Things - Industry Applications > Smart Homes",India,2021-2025,5.72,15.35,0.41,AI Firm,4,,,,,,
Provider of outsourced manufacturing solutions for OEMs,Bengaluru,2021,Seed,64,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2021-2025,3.26,19.82,2.32,Non-AI Firm,4,,,,,,
Provider of IoT security intelligence and vulnerability management solutions,Bengaluru,2021,Seed,11,"High Tech > Internet of Things Infrastructure,
Enterprise Infrastructure > Cybersecurity",India,2021-2025,1.12,5.77,0.02,Non-AI Firm,4,,,,,,
Cloud based cloud migration and disaster recovery solutions,Pune,2021,Seed,31,"Enterprise Infrastructure > IT Operations,
Enterprise Infrastructure > Cloud Infrastructure,
Enterprise Infrastructure > Enterprise Storage",India,2021-2025,4.3,17.26,0.07,Non-AI Firm,4,,,,,,
Platform providing sales-related learning solutions,Gurugram,2021,Series A,8,EdTech > Continued Learning,India,2021-2025,1.64,5.96,0.13,Non-AI Firm,4,,,,,,
Provider of payment and operations solutions for fleet management,Bengaluru,2021,Seed,11,"FinTech > Payments,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2021-2025,1.93,6.92,0.25,Non-AI Firm,4,,,,,,
AI-powered analytics solutions for finance industry,Hyderabad,2021,Seed,40,"FinTech > Finance & Accounting Tech,
Enterprise Applications > Big Data Analytics,
FinTech > Banking Tech",India,2021-2025,4.1,15.76,0.04,AI Firm,4,,,,,,
Provider of vision AI platform and agents for industrial anomaly detection,Noida,2021,Seed,88,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech,
High Tech > Computer Vision",India,2021-2025,14.19,36.39,1.46,AI Firm,4,,,,,,
"Provider of vegan, cruelty-free skincare and body care products",Mumbai,2021,Seed,2,"Retail > Beauty Tech,
Consumer Goods > Beauty & Personal Care Products",India,2021-2025,7.5,10.88,2.86,Non-AI Firm,4,,,,,,
Provider of all-in-one property management software,Bengaluru,2021,Seed,30,Real Estate and Construction Tech > Property Management Tech,India,2021-2025,4.16,12.8,0.07,Non-AI Firm,4,,,,,,
Offering insurance and loans for medical treatments and health services,Delhi,2021,Seed,14,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms,
FinTech > Alternative Lending",India,2021-2025,2.16,17.64,0.2,Non-AI Firm,4,,,,,,
Online platform offering cross-border payment solutions using credit cards,Bengaluru,2021,Seed,11,FinTech > Payments,India,2021-2025,5.04,21.93,0.46,Non-AI Firm,4,,,,,,
Platform for reselling multi-category products for microbrands,Delhi,2021,Seed,1,Retail > Social Commerce,India,2021-2025,1.21,11.91,0.14,Non-AI Firm,4,,,,,,
App-based group buying platform offering multi-category products,Delhi,2021,Series A,19,Retail > Social Commerce,India,2021-2025,5.59,6.06,0.69,Non-AI Firm,4,,,,,,
Provider of a digital gold savings and investment platform,Bengaluru,2021,Seed,23,FinTech > Investment Tech,India,2021-2025,4.43,3.5,0.05,Non-AI Firm,4,,,,,,
App-based community marketplace platform offering multi-category fashion products,Balangir,2021,Seed,15,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Retail > Social Commerce,
Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2021-2025,2.62,7.22,0.12,Non-AI Firm,4,,,,,,
Provider of study abroad test preparation and university application guidance,Bengaluru,2021,Seed,28,EdTech > Higher Education Tech,India,2021-2025,2.56,5.09,0.06,Non-AI Firm,4,,,,,,
Platform connecting users with professionals for career guidance,"San Francisco,
Bengaluru",2021,Seed,1,Enterprise Applications > HRTech,"United States,
India",2021-2025,1.13,3.92,0.07,Non-AI Firm,4,,,,,,
"Online brand offering healthy, protein-rich breakfast and snack mixes",Jaipur,2021,Seed,1,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2021-2025,1.35,3.68,0.54,Non-AI Firm,4,,,,,,
CRM and insurance policy management solutions,Mumbai,2021,Seed,94,"FinTech > Insurance IT,
InsurTech > Insurance IT",India,2021-2025,1.13,6.65,0.53,Non-AI Firm,4,,,,,,
"Platform that enables brands to source, design, and operate retail stores",Bengaluru,2021,Series A,35,"Retail > In Store Retail Tech,
Retail > Brands Tech,
Retail > E-Commerce Enablers",India,2021-2025,7.24,21.14,0.73,AI Firm,4,,,,,,
Online platform offering products recommended by influencers,Delhi,2021,Seed,4,Retail > Influencer E-Commerce,India,2021-2025,1.3,4.75,0.03,Non-AI Firm,4,,,,,,
Provider of solar sales and design software solutions,Mumbai,2021,Seed,28,"Energy Tech > Renewable Energy Tech,
Environment Tech > Renewable Energy Tech,
Sustainability Tech > Renewable Energy Tech",India,2021-2025,2.31,5.13,0.81,Non-AI Firm,4,,,,,,
"Provider of indoor plants, planters, and plant care solutions",Indore,2021,Seed,27,"Retail > Home Improvements,
Consumer Goods > Home Furnishing Products",India,2021-2025,1.04,6.77,1.55,Non-AI Firm,4,,,,,,
Online brand offering denim apparel for women,Mumbai,2021,Series A,65,"Consumer Goods > Apparel Brands,
Consumer > Fashion Tech,
Retail > Fashion Tech",India,2021-2025,7.91,24.56,0.09,Non-AI Firm,4,,,,,,
Provider of financial solutions for media and entertainment industry,Chennai,2021,Seed,32,"FinTech > Investment Tech,
Media & Entertainment > Tech for Film & TV,
FinTech > Alternative Lending,
Consumer > Music Tech,
Media & Entertainment > Music Tech",India,2021-2025,1.19,4.56,0.71,AI Firm,4,,,,,,
Digital telehealth and consultation platform for chronic care,Gurugram,2021,Seed,57,HealthTech > Healthcare IT,India,2021-2025,3.55,29.85,0.4,Non-AI Firm,4,,,,,,
Provider of a mobile application offering a wide range of audio content,Bengaluru,2021,Series A,23,"Media & Entertainment > Radio Tech,
Consumer > Music Tech,
Media & Entertainment > Music Tech",India,2021-2025,2.08,7.41,0.08,Non-AI Firm,4,,,,,,
Provider of consumer loans,Pune,2021,Seed,146,"Financial Services > Consumer and SME Loans,
FinTech > Alternative Lending,
Enterprise Applications > SCM Software",India,2021-2025,2.46,11.94,1.48,Non-AI Firm,4,,,,,,
Online listing platform that provides co-own residential properties,Mumbai,2021,Seed,45,"Consumer > Residential Real Estate Tech,
Real Estate and Construction Tech > Residential Real Estate Tech",India,2021-2025,2.69,18.62,0.99,Non-AI Firm,4,,,,,,
Internet first brand of milled grains,Bengaluru,2021,Seed,30,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2021-2025,2.72,6.06,0.44,AI Firm,4,,,,,,
Platform focused on acquiring and scaling e-commerce businesses,Mumbai,2021,Series A,28,"Retail > Brands Tech,
Retail > E-Commerce Enablers",India,2021-2025,14.46,28.08,0.23,Non-AI Firm,4,,,,,,
Provider of credit score for real-estate properties,Bengaluru,2021,Seed,22,"Financial Services > Services for Investment Industry,
FinTech > Alternative Lending,
Real Estate and Construction Tech > Real Estate IT,
FinTech > Banking Tech,
FinTech > RegTech,
Enterprise Applications > GRC Software",India,2021-2025,1.3,6.21,0.14,Non-AI Firm,4,,,,,,
Provider of elder care services at home,Pune,2021,Seed,30,"HealthTech > Assistive Tech,
Consumer > Local Services,
Unbundling of Craigslist > Local Services,
HealthTech > Healthcare Booking Platforms",India,2021-2025,2.31,14.47,0.16,Non-AI Firm,4,,,,,,
Provider of digital transaction services for banking sector,Delhi,2021,Seed,64,"FinTech > Payments,
FinTech > Banking Tech",India,2021-2025,2.7,16.59,0.02,Non-AI Firm,4,,,,,,
Provider of online bus ticket booking and related services,Gurugram,2021,Series A,168,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2021-2025,1.85,15.39,0.14,Non-AI Firm,4,,,,,,
App-based platform for stock market news and signals,Bengaluru,2021,Seed,3,FinTech > Investment Tech,India,2021-2025,1.03,9.15,0.01,Non-AI Firm,4,,,,,,
Online platform for liability insurance for businesses,Indore,2021,Seed,53,"Financial Services > Insurance Carriers,
FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms",India,2021-2025,2,9.25,0.3,Non-AI Firm,4,,,,,,
Platform offering learning resources for k-12 students,Bengaluru,2021,Seed,8,"EdTech > Continued Learning,
FinTech > Investment Tech",India,2021-2025,5,33,0.02,Non-AI Firm,4,,,,,,
Provider of AI-powered agricultural monitoring and analytics platform,"New York City,
Pune",2021,Seed,37,Food and Agriculture Tech > Crop Tech,"United States,
India",2021-2025,2.4,3.79,0.2,AI Firm,4,,,,,,
Developer of a multisensor imaging satellite for Earth observation purposes,Bengaluru,2021,Series A,97,"Aerospace, Maritime and Defense Tech > NewSpace,
High Tech > Geographic Information Systems",India,2021-2025,13.99,39.3,0.03,Non-AI Firm,4,,,,,,
Developer of construction project management solution,Delhi,2021,Seed,33,Real Estate and Construction Tech > Construction Tech,India,2021-2025,1.72,10.33,0.06,Non-AI Firm,4,,,,,,
Digital public infrastructure for assets,Chennai,2021,Seed,19,FinTech > Alternative Lending,India,2021-2025,1.3,6.17,0.12,Non-AI Firm,4,,,,,,
Bill payment platform for businesses,Bengaluru,2021,Seed,48,FinTech > Payments,India,2021-2025,8.3,25.95,1.08,Non-AI Firm,4,,,,,,
Digital lending platform,Pune,2021,Seed,13,FinTech > Alternative Lending,India,2021-2025,2.49,10.28,0.34,Non-AI Firm,4,,,,,,
Online platform offering precious jewelry,Gurugram,2021,Seed,10,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2021-2025,1.34,5.05,0.27,Non-AI Firm,4,,,,,,
Online On demand staffing solution for constructions,Bengaluru,2021,Seed,11,"Enterprise Applications > HRTech,
Real Estate and Construction Tech > Construction Tech",India,2021-2025,3.66,3.2,1.27,Non-AI Firm,4,,,,,,
Provider of AI-powered gifting and rewards solutions,Bengaluru,2021,Seed,30,"Consumer > Online Gifting,
Retail > Online Gifting,
Retail > Coupons and Deals",India,2021-2025,3.5,12.86,1.01,AI Firm,4,,,,,,
Provider of B2B electric vehicle delivery services,Surat,2021,Seed,39,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Retail > E-Commerce Enablers",India,2021-2025,2.25,8.5,0.56,Non-AI Firm,4,,,,,,
Provider of a treasury card and embedded finance solutions for businesses,Bengaluru,2021,Seed,27,FinTech > Payments,India,2021-2025,2.73,13.99,0.04,Non-AI Firm,4,,,,,,
Automated payment collection solutions for businesses,Chennai,2021,Seed,70,FinTech > Payments,India,2021-2025,3.45,4.12,0.1,Non-AI Firm,4,,,,,,
Developer of music-related learning courses,Mumbai,2021,Series A,129,"EdTech > Continued Learning,
Consumer > Music Tech,
Media & Entertainment > Music Tech",India,2021-2025,6.74,18.5,2.31,Non-AI Firm,4,,,,,,
App-based learning platform for women,Bengaluru,2021,Series A,22,EdTech > Continued Learning,India,2021-2025,3.6,11.01,0.6,Non-AI Firm,4,,,,,,
Developer of AI-powered battery management and optimization systems,Bengaluru,2021,Seed,60,"Energy Tech > Energy Storage Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2021-2025,3.39,7.31,0.09,AI Firm,4,,,,,,
Provider of recruitment services,Ahmedabad,2021,Seed,41,Enterprise Applications > HRTech,India,2021-2025,1.83,5.17,0.04,Non-AI Firm,4,,,,,,
Provider of AI-based visual dubbing solutions,Bengaluru,2021,Seed,47,"Media & Entertainment > Tech for Film & TV,
High Tech > Generative AI,
Native AI > Generative AI,
Enterprise Applications > MarketingTech",India,2021-2025,1.45,7.4,0.19,AI Firm,4,,,,,,
AI-based video creation platform,Bengaluru,2021,Seed,28,"Enterprise Applications > Video Creation Tools,
High Tech > Generative AI,
Native AI > Generative AI",India,2021-2025,2.02,5.54,1.47,AI Firm,4,,,,,,
Online platform for employee health insurance benefits,Mumbai,2021,Seed,23,"HealthTech > Employee Health IT,
FinTech > Employer Insurance,
InsurTech > Employer Insurance,
Enterprise Applications > HRTech",India,2021-2025,3.05,9.05,0.34,Non-AI Firm,4,,,,,,
Platform offering design to code converter solution,Surat,2021,Series A,64,"Enterprise Infrastructure > Application Development Tools,
High Tech > Generative AI,
Native AI > Generative AI",India,2021-2025,9.96,30.88,0.42,Non-AI Firm,4,,,,,,
Provider of advertising campaign management platform for enterprises,"Middletown,
Chennai",2021,Seed,74,"Enterprise Applications > AdTech,
Enterprise Applications > MarketingTech,
High Tech > Generative AI,
Native AI > Generative AI","United States,
India",2021-2025,3.47,12.55,2.81,AI Firm,4,,,,,,
Provider of talent management services,Gurugram,2021,Seed,28,"Enterprise Applications > HRTech,
EdTech > K-12 EdTech,
EdTech > Continued Learning",India,2021-2025,11.37,16.03,1.14,Non-AI Firm,4,,,,,,
